name n m k T deg hom
reimer5 5 5 32003 66 6 no
reimer5h 6 5 32003 66 6 yes
reimer6 6 6 32003 153 7 no
reimer6h 7 6 32003 153 7 yes
reimer7 7 7 32003 271 8 no
reimer7h 8 7 32003 271 8 yes
rose 3 3 32003 29 9 no
roseh 4 3 32003 29 9 yes
rpbl 7 6 32003 100 3 no
rpblh 8 6 32003 100 3 yes
safey 8 9 32003 4305 16 no
schiele 4 2 32003 6 2 no
schieleh 5 2 32003 6 2 yes
schrans_troost 8 8 32003 127 2 no
sendra 2 2 32003 24 7 no
sendrah 3 2 32003 24 7 yes
solotarev 4 4 32003 15 2 no
solotarevh 5 4 32003 15 3 yes
sparsesym5 5 5 32003 16 10 no
sparsesym5h 6 5 32003 12 10 yes
sym33 4 3 7583 11 4 yes
syz1 3 2 32003 4 2 no
trinks 7 6 32003 37 3 yes
uteshev_bikker 5 4 7583 75 3 yes
vermeer 5 5 32003 37 5 no
virasoro 8 8 32003 127 2 no
wang16 4 6 32003 89 4 no
wang16h 5 4 32003 48 4 yes
weispfenning94 4 3 7583 17 5 yes
wu90 5 5 32003 29 3 no
wu90h 6 5 32003 30 3 yes
